rule;support_2016Q1;support_2017Q1;support_2018Q1;support_2019Q1;support_2020Q1;support_2021Q1;support_2022Q1;support_2016Q2;support_2017Q2;support_2018Q2;support_2019Q2;support_2020Q2;support_2021Q2;support_2022Q2;support_2016Q3;support_2017Q3;support_2018Q3;support_2019Q3;support_2020Q3;support_2021Q3;support_2022Q3;support_2016Q4;support_2017Q4;support_2018Q4;support_2019Q4;support_2020Q4;support_2021Q4;support_2022Q4;lift_2016Q1;lift_2017Q1;lift_2018Q1;lift_2019Q1;lift_2020Q1;lift_2021Q1;lift_2022Q1;lift_2016Q2;lift_2017Q2;lift_2018Q2;lift_2019Q2;lift_2020Q2;lift_2021Q2;lift_2022Q2;lift_2016Q3;lift_2017Q3;lift_2018Q3;lift_2019Q3;lift_2020Q3;lift_2021Q3;lift_2022Q3;lift_2016Q4;lift_2017Q4;lift_2018Q4;lift_2019Q4;lift_2020Q4;lift_2021Q4;lift_2022Q4;disclosure;financial-reports;information-about-bank;annual-reports;covered-bonds;root-financial-indicators;information-for-shareholders;financial-statement;information-for-investors-except-shareholders
information-for-shareholders, financial-reports:information-about-bank;;;;;;;;;;;;;0,000434311;;;;;;;0,000752396;;;;;;;;;;;;;;;;;;;;;0,980830671;;;;;;;1,643415658;;;;;;;;;1;1;1;0;0;0;1;0;0
annual-reports, financial-statement:information-about-bank;;0,004283529;;;;;;0,001761804;;;;;;;0,001927711;0,003336234;;;;0,000218086;;0,001632843;0,001903208;;;;;;;2,625920612;;;;;;1,857937807;;;;;;;1,639956092;2,109490993;;;;1,667233277;;1,824920944;1,576028404;;;;;;1;0;1;1;0;0;0;1;0
information-for-shareholders, covered-bonds, information-about-bank, root-financial-indicators:financial-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;6,213024086;7,333582648;;;;;;11,70309278;;;;;;;;10,46130501;;;;;;;11,76332623;;;;;;1;1;1;0;1;1;1;0;0
financial-statement, root-financial-indicators:information-about-bank;0,005341144;0,004385518;0,000789347;0,00094975;;;;0,002554616;0,002859867;0,002241467;0,000369058;0,000240639;;;0,003855422;0,004931825;0,002290255;0,000192031;0,000102824;;;0,00069979;0,003262643;0,001283368;;;;;4,124721082;3,046901536;1,64177854;1,701563303;;;;2,322422259;2,14539993;1,893624485;2,531626647;1,948059254;;;1,673424584;2,384641992;1,630120585;2,402907021;1,480789727;;;2,085623936;1,752494904;1,535158922;;;;;1;0;1;0;0;1;0;1;0
information-for-shareholders, information-about-bank, root-financial-indicators:financial-reports;;;;;;;;;;;;;;;;;;;0,000137099;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,7253949;;;;;;;;;;1;1;1;0;0;1;1;0;0
covered-bonds, annual-reports:information-about-bank;0,009246497;0,008669046;0,006520695;0,006820929;;;;0,007487667;0,011558627;0,005977246;0,006052554;;;;;0,012619669;0,008179481;0,004608737;;;;0,011080009;0,010422331;0,008418891;0,001836684;;;;4,068507704;3,045309217;1,712439189;1,937367531;;;;2,145716217;2,388946605;1,921068318;2,232186936;;;;;2,255041884;1,798889089;2,337963588;;;;2,063898686;1,755382725;1,631556611;2,498060343;;;;1;0;1;1;1;0;0;0;0
financial-reports, covered-bonds, annual-reports:information-about-bank;0,008385022;0,008567058;0,006280459;0,006561906;;;;0,006871036;0,011320305;0,005739514;0,005609684;;;;0,002168675;0,012039455;0,007571863;0,004544727;;;;0,010730114;0,009969186;0,007956879;0,001638124;;;;4,230574139;3,188617886;1,784541891;2,01093845;;;;2,236406619;2,413574921;1,996575549;2,346385673;;;;1,537458836;2,356253397;1,829727187;2,402907021;;;;2,085623936;1,801175318;1,769369065;2,609942582;;;;1;1;1;1;1;0;0;0;0
covered-bonds, financial-statement, information-about-bank:financial-reports, annual-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,87912088;;;;;;;;;;;;;1;1;1;1;1;0;0;1;0
information-for-shareholders, root-financial-indicators:financial-reports, information-about-bank;;;;;;;;;;;;;;;;;;;0,000137099;;;;;;;;;;;;;;;;;;;;;;;;;;;;147,3535354;;;;;;;;;;1;1;1;0;0;1;1;0;0
financial-reports, annual-reports, financial-statement, root-financial-indicators:information-for-shareholders, information-about-bank;;;;;;;;;;;;;;;;;;;;;;0,000116632;;;;;;;;;;;;;;;;;;;;;;;;;;;;389,7272727;;;;;;;1;1;1;1;0;1;1;1;0
